,Processor,Screen Size(inch),RAM(GB),Graphics Card,brand,SSD(GB),HDD(GB),link,OS,Normal,price EG,store
177,Intel Celeron -N4020,15.6,4.0,Intel UHD 600,Lenovo,0,1000,https://btech.com/en/lenovo-ideapad3-1tbhdd-4gb-gry.html,2,1,6799.0,btech
178,Intel Core i5 1035G1 - Quad core,15.6,4.0,Integrated Intel UHD Graphics,HP,0,1000,https://btech.com/en/hp-250g8-notebook-pc59u39ea-laptop.html,2,1,12299.0,btech
179,Intel Core i3-10110U,15.6,4.0,NVIDIA GeForce MX130 2GB,Lenovo,0,1000,https://btech.com/en/lenovo-ideapad-3lap-top-grey.html,1,1,20000.0,btech
180,AMD Ryzen7-5700U,13.3,16.0,AMD Radeon Graphics,Lenovo,512,0,https://btech.com/en/lenovo-yoga6-2n1-amdryzen7-5700u-512-16-blue.html,1,1,27499.0,btech
181,Microsoft SQ 2,13.0,16.0,Intel Iris Plus Graphics,Microsoft,512,0,https://btech.com/en/microsoft-surface-pro-x-laptop-sq-2-512gb-16gb.html,2,1,48199.0,btech
182,AMD R7-4800H,15.6,16.0,Nvidia GTX1650 4G,Lenovo,256,0,https://btech.com/en/lenovo-ideapad3-gaming-laptop-r7-4800h-15-6.html,1,0,24099.0,btech
183,Intel Core i5-1035G4 - Quad core,15.6,4.0,Integrated Intel UHD Graphics,HP,0,1000,https://btech.com/en/hp-250g8-notebook-pc43w29ea-laptop-mp125.html,2,1,10999.0,btech
184,Intel Core i5-1135G7,15.6,8.0,Nvidia MX130 2G,Dell,0,1000,https://btech.com/en/dell-vostro-3500-laptop-i5-1135g7-15-6-inches.html,1,1,13599.0,btech
185,Intel Celeron -N4020,15.6,4.0,Intel UHD 600,Lenovo,0,1000,https://btech.com/en/lenovo-ideapad3-1tbhdd-4gb-blu.html,2,1,6799.0,btech
186,Intel Core I7-11800H (2.3 - 4.6 GHz),15.6,16.0,NVIDIA GeForce RTX 3050,Dell,512,0,https://btech.com/en/dell-g15-5511-gaming-laptop-intel-15-6-16gb-512gb-1649935564.html,1,0,22999.0,btech
187,Intel Core I7 11800H,15.6,16.0,Nvidia Geforce RTX 3060 6GB,Dell,1000,0,https://btech.com/en/dell-g155511-laptop-corei711800h-16gb-ram-1649935887.html,1,0,27000.0,btech
